Counter,Date/time,Latitude,Longitude,Sunlight
1,2023-05-01 08:04:28.576128,49.29621348932417,-25.60958456411551,1
2,2023-05-01 08:04:46.992300,48.906931792405985,-23.97435076410835,1
3,2023-05-01 08:05:05.397634,48.49289006313817,-22.36724315966756,1
4,2023-05-01 08:05:23.804477,48.054579027183344,-20.78793286719573,1
5,2023-05-01 08:05:42.213332,47.592746302916375,-19.237008026652642,1
6,2023-05-01 08:06:00.620874,47.108249826031056,-17.71522066324076,1
7,2023-05-01 08:06:19.036040,46.60160896379117,-16.222129345607424,1
8,2023-05-01 08:06:37.435654,46.074265720181174,-14.75981527790634,1
9,2023-05-01 08:06:55.816755,45.527116858170594,-13.328438045971195,1
10,2023-05-01 08:07:14.185431,44.960807369334326,-11.92742372739355,1
11,2023-05-01 08:07:32.552110,44.3757794516794,-10.555751864184819,1
12,2023-05-01 08:07:50.914665,43.772839930176964,-9.213291764450005,1
13,2023-05-01 08:08:09.278166,43.152552170493834,-7.899330902861426,1
14,2023-05-01 08:08:27.644357,42.51555567863144,-6.6133328951098305,1
15,2023-05-01 08:08:46.014075,41.86249759846666,-5.354767021585043,1
16,2023-05-01 08:09:04.380668,41.194278375017845,-4.123547557738484,1
17,2023-05-01 08:09:22.752922,40.51122578269042,-2.918512635743891,1
18,2023-05-01 08:09:41.125776,39.81415118594964,-1.7393901163416867,1
19,2023-05-01 08:09:59.499727,39.103631335273,-0.5854815532655863,1
20,2023-05-01 08:10:17.908038,38.3789412506587,0.5458912093203219,1
21,2023-05-01 08:10:36.285561,37.64319334778955,1.651440245487468,1
22,2023-05-01 08:10:54.694853,36.89445046595873,2.7356110450874733,1
23,2023-05-01 08:11:13.071964,36.13581529677751,3.7953966380915887,1
24,2023-05-01 08:11:31.446189,35.36663372038028,4.833252707337768,1
25,2023-05-01 08:11:49.811350,34.587654885110865,5.84958664479269,1
26,2023-05-01 08:12:08.172415,33.799139360649946,6.845428892395778,1
27,2023-05-01 08:12:26.530312,33.00151127700567,7.8215497399145875,1
28,2023-05-01 08:12:44.888740,32.195033655863554,8.778875388217989,1
29,2023-05-01 08:13:03.244462,31.380262032007444,9.717948307883681,1
30,2023-05-01 08:13:21.607250,30.557157137423644,10.639958784490007,1
31,2023-05-01 08:13:39.952157,29.72722879555041,11.544351317506758,1
32,2023-05-01 08:13:58.300629,28.889877201423367,12.432881366618602,1
33,2023-05-01 08:14:16.647118,28.045702646227703,13.305942747875394,1
34,2023-05-01 08:14:34.991470,27.195058011885067,14.164175377659348,1
35,2023-05-01 08:14:53.336801,26.33811937352311,15.0083660061825,1
36,2023-05-01 08:15:11.676707,25.475496044168686,15.838849901647391,1
37,2023-05-01 08:15:30.021273,24.60701645838086,16.656689869784095,1
38,2023-05-01 08:15:48.370919,23.732947541484844,17.46248677924169,1
39,2023-05-01 08:16:06.720495,22.853809910975396,18.256591637616193,1
40,2023-05-01 08:16:25.073111,21.969715825746345,19.039709668383114,1
41,2023-05-01 08:16:43.424755,21.081122510519872,19.81221771922626,1
42,2023-05-01 08:17:01.773347,20.18840455588439,20.57455502198556,1
43,2023-05-01 08:17:20.126343,19.291376082576573,21.327614750513835,1
44,2023-05-01 08:17:38.475842,18.390721712987784,22.071534938218328,1
45,2023-05-01 08:17:56.820391,17.48671799587283,22.80678892570833,1
46,2023-05-01 08:18:15.166261,16.579281158667637,23.53412156592871,1
47,2023-05-01 08:18:33.509788,15.668801544540907,24.25387573537984,1
48,2023-05-01 08:18:51.851759,14.755452763234256,24.96655494826178,1
49,2023-05-01 08:19:10.195536,13.83926671106559,25.67275580084518,1
50,2023-05-01 08:19:28.535771,12.920704759085849,26.372730465047876,1
51,2023-05-01 08:19:46.878762,11.999652009839767,27.067159982474138,1
52,2023-05-01 08:20:05.221243,11.076457706714617,27.75636001808518,1
53,2023-05-01 08:20:23.564860,10.151210301419264,28.44083277884542,1
54,2023-05-01 08:20:41.911346,9.224026911092073,29.121047801523332,1
55,2023-05-01 08:21:00.254125,8.29539085275879,29.797199295968067,1
56,2023-05-01 08:21:18.602768,7.365009456629989,30.47003929896862,1
57,2023-05-01 08:21:36.952676,6.433281543753168,31.139809034567573,1
58,2023-05-01 08:21:55.303339,5.50040108220717,31.806893908283683,1
59,2023-05-01 08:22:13.656908,4.566425019636035,32.471771840696675,1
60,2023-05-01 08:22:32.011393,3.631624988007492,33.13476326638943,1
61,2023-05-01 08:22:50.365337,2.6962345419414686,33.796213000506015,1
62,2023-05-01 08:23:08.734907,1.7595947657710014,34.4570925311368,1
63,2023-05-01 08:23:27.081089,0.8238506720397939,35.11639392220431,1
64,2023-05-01 08:23:45.430257,-0.11217580099596419,35.77545154229047,1
65,2023-05-01 08:24:03.775938,-1.0479883701963533,36.434417637711555,1
66,2023-05-01 08:24:22.121925,-1.9836168950016617,37.09381489373378,1
67,2023-05-01 08:24:40.464689,-2.918735526184447,37.753915934285295,1
68,2023-05-01 08:24:58.809172,-3.8534207314599387,38.41527878756748,1
69,2023-05-01 08:25:17.152100,-4.787343302511589,39.078177221328595,1
70,2023-05-01 08:25:35.493786,-5.720367769430237,39.74302471766343,1
71,2023-05-01 08:25:53.834767,-6.652341276425362,40.4102263017418,1
72,2023-05-01 08:26:12.175585,-7.583129148024273,41.080204819198684,1
73,2023-05-01 08:26:30.522548,-8.51288982396396,41.75360205837006,1
74,2023-05-01 08:26:48.872715,-9.441287573557291,42.430711299075995,1
75,2023-05-01 08:27:07.220492,-10.367868041774337,43.11174259319509,1
76,2023-05-01 08:27:25.575001,-11.29291628595931,43.79745769052251,1
77,2023-05-01 08:27:43.926260,-12.215750139390261,44.48791279387512,1
78,2023-05-01 08:28:02.285584,-13.136755956293593,45.18397104093182,1
79,2023-05-01 08:28:20.646461,-14.055406072064633,45.88582272362954,1
80,2023-05-01 08:28:39.004382,-14.971286864940526,46.593747321339364,1
81,2023-05-01 08:28:57.358960,-15.88418266256313,47.30818400636931,1
82,2023-05-01 08:29:15.711747,-16.79396522360319,48.0296535457018,1
83,2023-05-01 08:29:34.064893,-17.70054278178439,48.75872307729728,1
84,2023-05-01 08:29:52.423516,-18.603942006874938,49.496077576248936,1
85,2023-05-01 08:30:10.780712,-19.503599288934677,50.24193765904689,1
86,2023-05-01 08:30:29.152087,-20.400060174087777,50.99746569317009,1
87,2023-05-01 08:30:47.520284,-21.292230316058227,51.76246981379357,1
88,2023-05-01 08:31:05.889283,-22.180057722343516,52.53764445563592,1
89,2023-05-01 08:31:24.257391,-23.063207574244018,53.323462232072295,1
90,2023-05-01 08:31:42.653147,-23.942788739772322,54.121734588460605,1
91,2023-05-01 08:32:01.056590,-24.8175509523996,54.9321926610754,1
92,2023-05-01 08:32:19.458984,-25.686806241652437,55.755057306073695,1
93,2023-05-01 08:32:37.854186,-26.549960942423173,56.5906328221833,1
94,2023-05-01 08:32:56.237790,-27.406522369636043,57.439321288747216,1
95,2023-05-01 08:33:14.637068,-28.257444806453208,58.303015880812914,1
96,2023-05-01 08:33:33.024824,-29.101138093356358,59.18108403561732,1
97,2023-05-01 08:33:51.432135,-29.938663767707432,60.075655696662814,1
98,2023-05-01 08:34:09.842981,-30.76897251623493,60.98670384288098,1
99,2023-05-01 08:34:28.243108,-31.591010599393233,61.91414649186421,1
100,2023-05-01 08:34:46.604049,-32.40317295834453,62.85719087867448,1
101,2023-05-01 08:35:04.963735,-33.206753146892304,63.81841163693625,1
102,2023-05-01 08:35:23.316643,-34.00111125528235,64.7982273332077,1
103,2023-05-01 08:35:41.667458,-34.786018576841954,65.79758027651363,1
104,2023-05-01 08:36:00.019711,-35.56118613244633,66.81739216011073,1
105,2023-05-01 08:36:18.370145,-36.32600305846773,67.85819583089733,1
106,2023-05-01 08:36:36.734592,-37.08063189279833,68.92163369179106,1
107,2023-05-01 08:36:55.104172,-37.82418348583341,70.0079466016156,1
108,2023-05-01 08:37:13.470263,-38.555780325739825,71.11734278201283,1
109,2023-05-01 08:37:31.823356,-39.274520057549935,72.24993128580519,1
110,2023-05-01 08:37:50.187515,-39.980773329963746,73.40787242495375,1
111,2023-05-01 08:38:08.549087,-40.673420862615885,74.59099499809155,1
112,2023-05-01 08:38:26.908441,-41.351876012326436,75.7999594135729,1
113,2023-05-01 08:38:45.270497,-42.015689501822656,77.03569715983733,1
114,2023-05-01 08:39:03.635087,-42.66420564560602,78.29878911091127,1
115,2023-05-01 08:39:21.999154,-43.29664091710332,79.5895430857683,1
116,2023-05-01 08:39:40.365890,-43.91241337075251,80.90864989881761,1
117,2023-05-01 08:39:58.732665,-44.51073816615065,82.25635360012683,1
118,2023-05-01 08:40:17.098219,-45.090846851128134,83.63286708319028,1
119,2023-05-01 08:40:35.461472,-45.65197664450566,85.03834363447302,1
120,2023-05-01 08:40:53.848696,-46.194154568746306,86.47500815428226,1
121,2023-05-01 08:41:12.211611,-46.715193641121395,87.93911005150771,1
122,2023-05-01 08:41:30.578846,-47.21518365582479,89.43283020378819,1
123,2023-05-01 08:41:48.947651,-47.693265533657154,90.95573559355562,1
124,2023-05-01 08:42:07.351524,-48.14947730059106,92.51035267922023,1
125,2023-05-01 08:42:25.759813,-48.582220213739404,94.0936994694429,1
126,2023-05-01 08:42:44.165984,-48.99057349904153,95.70455616430039,1
127,2023-05-01 08:43:02.572743,-49.37385451311427,97.3423392107532,1
128,2023-05-01 08:43:20.984540,-49.73141576799517,99.00646161868947,1
129,2023-05-01 08:43:39.399822,-50.06251258297826,100.69567110090699,1
130,2023-05-01 08:43:57.815910,-50.36641038479813,102.40837742290626,1
131,2023-05-01 08:44:16.224286,-50.64233981212299,104.14222044722004,1
132,2023-05-01 08:44:34.599895,-50.889426725472454,105.89310374483824,1
133,2023-05-01 08:44:53.005297,-51.107967314913196,107.66509590316835,1
134,2023-05-01 08:45:11.415177,-51.297088292996406,109.45382477914161,1
135,2023-05-01 08:45:29.833846,-51.45636415445794,111.2575786879274,1
136,2023-05-01 08:45:48.253442,-51.585321698169416,113.0732400423762,1
137,2023-05-01 08:46:06.678187,-51.68367043775104,114.89887767389916,1
138,2023-05-01 08:46:25.113093,-51.75115726364894,116.7324431438983,1
139,2023-05-01 08:46:43.559360,-51.7875688722535,118.57154387064995,1
140,2023-05-01 08:47:02.004019,-51.79276414407839,120.41222289031998,1
141,2023-05-01 08:47:20.447847,-51.76673734249502,122.25193183877543,1
142,2023-05-01 08:47:38.902447,-51.709511524536886,124.0891933517315,1
143,2023-05-01 08:47:57.350427,-51.621271430843684,125.91967243620888,1
144,2023-05-01 08:48:15.804976,-51.50216956893932,127.74214794949008,1
145,2023-05-01 08:48:34.260973,-51.35250852280912,129.5536345804429,1
146,2023-05-01 08:48:52.724436,-51.17257304794889,131.3523852491551,1
147,2023-05-01 08:49:11.191018,-50.962804844927746,133.13571155632198,1
148,2023-05-01 08:49:29.660496,-50.7236738201582,134.90151177587168,1
149,2023-05-01 08:49:48.127224,-50.455790593584915,136.64731832840263,1
150,2023-05-01 08:50:06.593000,-50.159730742767074,138.37151434837273,1
151,2023-05-01 08:50:25.059500,-49.836089902181264,140.07272347353899,1
152,2023-05-01 08:50:43.525768,-49.485565916605154,141.7493809382002,1
153,2023-05-01 08:51:01.992422,-49.10885546391848,143.40029087007704,1
154,2023-05-01 08:51:20.465729,-48.70649738406981,145.0251410261758,1
155,2023-05-01 08:51:38.929374,-48.27964913124236,146.6214265261327,1
156,2023-05-01 08:51:57.399109,-47.828706709711135,148.1898599701696,1
157,2023-05-01 08:52:15.864275,-47.354700375707445,149.72899405100077,1
158,2023-05-01 08:52:56.329059,-46.23871185854635,152.9991566881515,0
159,2023-05-01 08:53:36.791384,-45.023439449953926,156.12687709160573,0
160,2023-05-01 08:54:17.258773,-43.71665686562515,159.113762169531,0
161,2023-05-01 08:54:57.732840,-42.32602256879345,161.96305974381792,0
162,2023-05-01 08:55:38.203123,-40.85923433328457,164.67894484255126,0
163,2023-05-01 08:56:18.675047,-39.3230127570393,167.267924603414,0
164,2023-05-01 08:56:59.144111,-37.72396069127962,169.7366825315552,0
165,2023-05-01 08:57:39.617504,-36.06774673365526,172.09309904246024,0
166,2023-05-01 08:58:20.087035,-34.36017731689835,174.34439540140255,0
167,2023-05-01 08:59:00.558239,-32.60605170340757,176.498618340579,0
168,2023-05-01 08:59:41.029399,-30.810042253910794,178.5633057986356,0
169,2023-05-01 09:00:21.500799,-28.976349716141417,-179.4540973691225,0
170,2023-05-01 09:01:01.969917,-27.108928685835128,-177.54652282505972,0
171,2023-05-01 09:01:42.437978,-25.2112709597495,-175.70705092074576,0
172,2023-05-01 09:02:22.912063,-23.28628323306148,-173.9288230698665,0
173,2023-05-01 09:03:03.383927,-21.337321792795297,-172.20596398734037,0
174,2023-05-01 09:03:43.853821,-19.36714970089176,-170.5325477575016,0
175,2023-05-01 09:04:24.322585,-17.378283089418684,-168.90290636359015,0
176,2023-05-01 09:05:04.793557,-15.372947653843855,-167.31155897682737,0
177,2023-05-01 09:05:45.268187,-13.353305693196077,-165.75335129066875,0
178,2023-05-01 09:06:25.734778,-11.322053602210751,-164.22384384344443,0
179,2023-05-01 09:07:06.205488,-9.280590415232892,-162.71788189204335,0
180,2023-05-01 09:07:46.678797,-7.230910005553148,-161.23099721683795,0
181,2023-05-01 09:08:27.150399,-5.17508247811863,-159.75895163138293,0
182,2023-05-01 09:09:07.620118,-3.1149016055848597,-158.29744478853462,0
183,2023-05-01 09:09:48.094298,-1.0518206845622606,-156.84203721384594,0
184,2023-05-01 09:10:28.563399,1.011951240700559,-155.38888219560906,0
185,2023-05-01 09:11:09.033786,3.0749989253725696,-153.93359261121793,0
186,2023-05-01 09:11:49.502875,5.1354572480594145,-152.47207863569076,0
187,2023-05-01 09:12:29.976162,7.191844220929928,-150.99991700370117,0
188,2023-05-01 09:13:10.447980,9.242070936278324,-149.51301573062477,0
189,2023-05-01 09:13:50.918691,11.284308444512464,-148.0069581941057,0
190,2023-05-01 09:14:31.390700,13.316750044226165,-146.47712410514717,0
191,2023-05-01 09:15:11.860795,15.337235298012525,-144.91892990050405,0
192,2023-05-01 09:15:52.330010,17.34369276969731,-143.32745502419095,0
193,2023-05-01 09:16:32.801878,19.334048569359283,-141.6974507747601,0
194,2023-05-01 09:17:13.271534,21.305676823286376,-140.02374732548023,0
195,2023-05-01 09:17:53.740758,23.256098426719692,-138.30064244326124,0
196,2023-05-01 09:18:34.215790,25.182841585406816,-136.5219304710769,0
197,2023-05-01 09:19:14.686670,27.08243934084337,-134.68179852233675,0
198,2023-05-01 09:19:55.155807,28.951754124634178,-132.77358886956515,0
199,2023-05-01 09:20:35.626143,30.787387501286656,-130.79026984790144,0
200,2023-05-01 09:21:16.097431,32.585451708264465,-128.72466443793078,0
201,2023-05-01 09:21:56.567146,34.34161990649576,-126.56943464773991,0
202,2023-05-01 09:22:37.039995,36.05146533652018,-124.31667544706843,0
203,2023-05-01 09:23:17.510887,37.70973468064478,-121.95889063325549,0
204,2023-05-01 09:23:57.980854,39.31097308284409,-119.488311583111,0
205,2023-05-01 09:24:38.451721,40.8492773511257,-116.89733962370184,0
206,2023-05-01 09:25:18.923469,42.31818566406902,-114.17896758817253,0
207,2023-05-01 09:25:59.394309,43.71068892221214,-111.3271568795974,0
208,2023-05-01 09:26:39.865328,45.019444352581026,-108.33688441845878,0
209,2023-05-01 09:27:20.336341,46.23666909050633,-105.20492620068075,0
210,2023-05-01 09:27:38.804056,46.75950676535304,-103.72831902728403,1
211,2023-05-01 09:27:57.282145,47.26110213066345,-102.22119744045183,1
212,2023-05-01 09:28:15.758410,47.74033561942433,-100.68471824938386,1
213,2023-05-01 09:28:34.239947,48.19658313203552,-99.11869854069474,1
214,2023-05-01 09:28:52.711488,48.62870029967671,-97.52494972810102,1
215,2023-05-01 09:29:11.184736,49.03621280334909,-95.90313519219542,1
216,2023-05-01 09:29:29.656119,49.41828043529286,-94.25443814590476,1
217,2023-05-01 09:29:48.127281,49.774206041091276,-92.57973734617904,1
218,2023-05-01 09:30:06.599029,50.103294207599774,-90.88015855090211,1
219,2023-05-01 09:30:25.069700,50.4048368894056,-89.15723817751747,1
220,2023-05-01 09:30:43.542755,50.6782434475234,-87.41222453713776,1
221,2023-05-01 09:31:02.013586,50.92284769922438,-85.64728066264709,1
222,2023-05-01 09:31:20.487634,51.138167020880005,-83.86380601451413,1
223,2023-05-01 09:31:38.958024,51.32362613608697,-82.06453663957011,1
224,2023-05-01 09:31:57.429549,51.47884287953294,-80.25122863699103,1
225,2023-05-01 09:32:15.906460,51.603466420017,-78.42578849220676,1
226,2023-05-01 09:32:34.378390,51.69712181488457,-76.5917136945597,1
227,2023-05-01 09:32:52.841806,51.75959504607909,-74.75191647101443,1
228,2023-05-01 09:33:11.300427,51.79077836824154,-72.90862036515219,1
229,2023-05-01 09:33:29.750289,51.79062141295732,-71.06487333095103,1
230,2023-05-01 09:33:48.197931,51.759152252649905,-69.22269060126445,1
231,2023-05-01 09:34:06.665104,51.69636801361573,-67.38254726587381,1
232,2023-05-01 09:34:25.127400,51.602468321822755,-65.54946399672627,1
233,2023-05-01 09:34:43.579408,51.47774971622827,-63.72653236841361,1
234,2023-05-01 09:35:02.028362,51.32249832914165,-61.915471131366424,1
235,2023-05-01 09:35:20.473818,51.13710418429365,-60.11865337211082,1
236,2023-05-01 09:35:38.917691,50.92199569906668,-58.338100859128026,1
237,2023-05-01 09:35:57.361811,50.67764723900585,-56.575685354898305,1
238,2023-05-01 09:36:15.808701,50.40456583279615,-54.83307172932928,1
239,2023-05-01 09:36:34.252049,50.103446518197295,-53.11260794462337,1
240,2023-05-01 09:36:52.697449,49.774836816664816,-51.4153045961696,1
241,2023-05-01 09:37:11.137553,49.419555054798565,-49.743231446334605,1
